"time", "users", "average response time", "queries Per Second", "label", "queries", "rows read", "updates", "deletes", "inserts", "interval"
89, 10, 3, 658, "Jul 29, 2013 4:03:45 PM", 658, 147752, 61, 65, 70, 1
90, 10, 3, 623, "Jul 29, 2013 4:03:47 PM", 623, 155919, 61, 58, 68, 1
91, 10, 5, 1, "Jul 29, 2013 4:03:49 PM", 1, 1218, 0, 0, 0, 1
92, 10, 0, 0, "Jul 29, 2013 4:03:51 PM", 0, 0, 0, 0, 0, 1
93, 10, 2, 203, "Jul 29, 2013 4:03:53 PM", 203, 24296, 43, 42, 40, 1
94, 10, 6, 489, "Jul 29, 2013 4:03:55 PM", 489, 228914, 34, 53, 47, 1
95, 10, 6, 497, "Jul 29, 2013 4:03:57 PM", 497, 197426, 59, 49, 61, 1
96, 10, 0, 0, "Jul 29, 2013 4:03:59 PM", 0, 0, 0, 0, 0, 1
97, 10, 0, 0, "Jul 29, 2013 4:04:01 PM", 0, 0, 0, 0, 0, 1
98, 10, 1, 250, "Jul 29, 2013 4:04:04 PM", 250, 18743, 32, 35, 35, 1
99, 10, 1, 802, "Jul 29, 2013 4:04:06 PM", 802, 54834, 80, 75, 63, 1
100, 10, 2, 674, "Jul 29, 2013 4:04:08 PM", 674, 54984, 63, 49, 53, 1
101, 10, 0, 0, "Jul 29, 2013 4:04:10 PM", 0, 0, 0, 0, 0, 1
102, 10, 0, 0, "Jul 29, 2013 4:04:12 PM", 0, 0, 0, 0, 0, 1
103, 10, 2, 277, "Jul 29, 2013 4:04:14 PM", 277, 34357, 44, 38, 36, 1
104, 10, 3, 668, "Jul 29, 2013 4:04:16 PM", 668, 139973, 92, 72, 81, 1
105, 10, 4, 610, "Jul 29, 2013 4:04:18 PM", 610, 138688, 65, 62, 56, 1
106, 10, 0, 0, "Jul 29, 2013 4:04:20 PM", 0, 0, 0, 0, 0, 1
107, 10, 0, 0, "Jul 29, 2013 4:04:22 PM", 0, 0, 0, 0, 0, 1
108, 10, 4, 273, "Jul 29, 2013 4:04:24 PM", 273, 59087, 40, 44, 31, 1
109, 10, 7, 517, "Jul 29, 2013 4:04:26 PM", 517, 191540, 65, 67, 64, 1
110, 10, 8, 422, "Jul 29, 2013 4:04:28 PM", 422, 195419, 51, 51, 51, 1
111, 10, 0, 0, "Jul 29, 2013 4:04:30 PM", 0, 0, 0, 0, 0, 1
112, 10, 0, 0, "Jul 29, 2013 4:04:32 PM", 0, 0, 0, 0, 0, 1
113, 10, 1, 269, "Jul 29, 2013 4:04:34 PM", 269, 0, 41, 42, 34, 1
114, 10, 1, 828, "Jul 29, 2013 4:04:36 PM", 828, 0, 76, 69, 74, 1
115, 10, 1, 699, "Jul 29, 2013 4:04:38 PM", 699, 2, 48, 64, 52, 1
116, 10, 0, 0, "Jul 29, 2013 4:04:40 PM", 0, 0, 0, 0, 0, 1
117, 10, 0, 0, "Jul 29, 2013 4:04:42 PM", 0, 0, 0, 0, 0, 1
118, 10, 3, 371, "Jul 29, 2013 4:04:44 PM", 371, 56293, 51, 50, 47, 1
119, 10, 3, 670, "Jul 29, 2013 4:04:46 PM", 670, 145088, 78, 70, 56, 1
120, 10, 3, 590, "Jul 29, 2013 4:04:48 PM", 590, 154853, 51, 41, 50, 1
121, 10, 0, 0, "Jul 29, 2013 4:04:50 PM", 0, 0, 0, 0, 0, 1
122, 10, 0, 0, "Jul 29, 2013 4:04:52 PM", 0, 0, 0, 0, 0, 1
123, 10, 4, 306, "Jul 29, 2013 4:04:54 PM", 306, 73694, 45, 49, 47, 1
124, 10, 6, 565, "Jul 29, 2013 4:04:56 PM", 565, 198877, 81, 73, 68, 1
125, 10, 6, 481, "Jul 29, 2013 4:04:58 PM", 481, 221762, 47, 47, 51, 1
126, 10, 0, 0, "Jul 29, 2013 4:05:00 PM", 0, 0, 0, 0, 0, 1
127, 10, 0, 0, "Jul 29, 2013 4:05:02 PM", 0, 0, 0, 0, 0, 1
128, 10, 1, 330, "Jul 29, 2013 4:05:04 PM", 330, 2, 37, 52, 40, 1
129, 10, 1, 714, "Jul 29, 2013 4:05:06 PM", 714, 3, 65, 66, 64, 1
130, 10, 1, 618, "Jul 29, 2013 4:05:08 PM", 618, 2, 42, 46, 47, 1
131, 10, 0, 0, "Jul 29, 2013 4:05:10 PM", 0, 0, 0, 0, 0, 1
132, 10, 0, 0, "Jul 29, 2013 4:05:12 PM", 0, 0, 0, 0, 0, 1
133, 10, 2, 383, "Jul 29, 2013 4:05:14 PM", 383, 34157, 45, 53, 40, 1
134, 10, 2, 739, "Jul 29, 2013 4:05:16 PM", 739, 107139, 64, 81, 61, 1
135, 10, 2, 612, "Jul 29, 2013 4:05:18 PM", 612, 112857, 57, 47, 44, 1
136, 10, 0, 0, "Jul 29, 2013 4:05:20 PM", 0, 0, 0, 0, 0, 1
137, 10, 0, 0, "Jul 29, 2013 4:05:22 PM", 0, 0, 0, 0, 0, 1
138, 10, 5, 420, "Jul 29, 2013 4:05:24 PM", 420, 140492, 52, 55, 61, 1
139, 10, 6, 546, "Jul 29, 2013 4:05:26 PM", 546, 188896, 76, 73, 80, 1
140, 10, 6, 474, "Jul 29, 2013 4:05:28 PM", 474, 221054, 38, 62, 48, 1
141, 10, 0, 0, "Jul 29, 2013 4:05:30 PM", 0, 0, 0, 0, 0, 1
142, 10, 0, 0, "Jul 29, 2013 4:05:32 PM", 0, 0, 0, 0, 0, 1
143, 10, 1, 630, "Jul 29, 2013 4:05:34 PM", 630, 2, 53, 68, 56, 1
144, 10, 1, 815, "Jul 29, 2013 4:05:36 PM", 815, 1, 84, 74, 71, 1
145, 10, 1, 685, "Jul 29, 2013 4:05:38 PM", 685, 2, 43, 44, 42, 1
146, 10, 0, 0, "Jul 29, 2013 4:05:40 PM", 0, 0, 0, 0, 0, 1
147, 10, 0, 0, "Jul 29, 2013 4:05:42 PM", 0, 0, 0, 0, 0, 1
148, 10, 3, 582, "Jul 29, 2013 4:05:44 PM", 582, 100647, 69, 62, 65, 1
149, 10, 3, 673, "Jul 29, 2013 4:05:46 PM", 673, 137964, 72, 74, 68, 1
150, 10, 3, 526, "Jul 29, 2013 4:05:48 PM", 526, 160272, 52, 35, 45, 1
151, 10, 0, 0, "Jul 29, 2013 4:05:50 PM", 0, 0, 0, 0, 0, 1
152, 10, 1, 1, "Jul 29, 2013 4:05:52 PM", 1, 0, 1, 0, 1, 1
153, 10, 5, 516, "Jul 29, 2013 4:05:54 PM", 516, 184124, 63, 65, 61, 1
154, 10, 6, 577, "Jul 29, 2013 4:05:56 PM", 577, 200278, 73, 63, 82, 1
